web_name,id,avg_minutes,avg_points,team_name,cost,selected_by_percent,color,range
Evans,162,90.0,4.5,Leicester,5.3,6.8,gold,5.3 to 5.7
Fernández,254,57.72727272727273,2.727272727272727,Newcastle,4.4,0.7,green,4.3 to 4.7
Fredericks,380,72.7,2.8,West Ham,4.5,0.6,green,4.3 to 4.7
Godfrey,273,65.45454545454545,0.6363636363636364,Norwich,4.4,0.2,green,4.3 to 4.7
Guilbert,458,61.4,3.6,Aston Villa,4.4,0.7,green,4.3 to 4.7
Holgate,478,46.8,1.8,Everton,4.4,0.7,green,4.3 to 4.7
Jonny,402,88.2,2.2,Wolves,5.4,1.1,gold,5.3 to 5.7
Kabasele,354,63.63636363636363,3.272727272727273,Watford,4.3,0.7,green,4.3 to 4.7
Keane,143,55.8,1.9,Everton,5.3,2.1,gold,5.3 to 5.7
Kelly (CRY),128,54.8,2.9,Crystal Palace,4.4,32.3,green,4.3 to 4.7
Kiko Femenía,357,64.0,2.0,Watford,4.2,0.9,darkgreen,Less than 4.3
Lewis (NOR),276,55.63636363636363,1.0,Norwich,4.5,0.2,green,4.3 to 4.7
Lindelöf,225,90.0,3.1,Man Utd,5.3,1.3,gold,5.3 to 5.7
Lundstram,297,88.1,6.2,Sheffield Utd,5.1,46.7,greenyellow,4.8 to 5.2
Maguire,160,90.0,2.5,Man Utd,5.2,10.4,greenyellow,4.8 to 5.2
Manquillo,256,46.09090909090909,1.5454545454545454,Newcastle,4.3,0.3,green,4.3 to 4.7
Mee,83,90.0,2.909090909090909,Burnley,5.0,0.9,greenyellow,4.8 to 5.2
Mepham,61,45.1,1.6,Bournemouth,4.3,0.8,green,4.3 to 4.7
Mina,142,81.0,2.9,Everton,5.3,2.1,gold,5.3 to 5.7
Mings,445,65.2,2.3,Aston Villa,4.5,2.9,green,4.3 to 4.7
Montoya,38,66.9090909090909,3.0,Brighton,4.4,0.7,green,4.3 to 4.7
O'Connell,293,90.0,3.7,Sheffield Utd,4.6,2.2,green,4.3 to 4.7
Ogbonna,377,54.0,3.2,West Ham,4.5,1.4,green,4.3 to 4.7
Pereira (LEI),159,90.0,5.8,Leicester,6.4,15.2,darkorange,6.3 to 6.7
Pieters,447,58.90909090909091,2.727272727272727,Burnley,4.4,5.3,green,4.3 to 4.7
Rico,65,72.0,2.3,Bournemouth,4.4,14.3,green,4.3 to 4.7
Robertson,181,84.36363636363636,3.6363636363636362,Liverpool,7.0,18.8,orangered,6.8 to 7.2
Saïss,407,54.0,1.6,Wolves,4.4,0.8,green,4.3 to 4.7
Schär,252,60.81818181818182,3.1818181818181817,Newcastle,5.0,1.4,greenyellow,4.8 to 5.2
Sidibé,511,51.4,3.7,Everton,5.3,1.6,gold,5.3 to 5.7
Sokratis,5,81.81818181818181,3.0,Arsenal,4.9,1.4,greenyellow,4.8 to 5.2
Stephens (SOU),308,53.18181818181818,1.7272727272727273,Southampton,4.3,0.7,green,4.3 to 4.7
Steve Cook,58,72.0,3.0,Bournemouth,5.0,0.3,greenyellow,4.8 to 5.2
Stevens,291,90.0,3.4,Sheffield Utd,5.1,2.4,greenyellow,4.8 to 5.2
Sánchez (TOT),333,67.5,1.5,Spurs,5.3,0.9,gold,5.3 to 5.7
Söyüncü,164,90.0,3.6,Leicester,5.1,19.4,greenyellow,4.8 to 5.2
Targett,309,58.8,3.3,Aston Villa,4.4,1.3,green,4.3 to 4.7
Tarkowski,84,90.0,3.8181818181818183,Burnley,5.1,4.4,greenyellow,4.8 to 5.2
Tomkins,124,53.2,1.5,Crystal Palace,5.0,0.9,greenyellow,4.8 to 5.2
Tomori,529,63.0,2.4,Chelsea,4.7,4.0,green,4.3 to 4.7
Vertonghen,330,61.3,2.4,Spurs,5.2,2.0,greenyellow,4.8 to 5.2
Walker,203,58.0,2.8181818181818183,Man City,5.8,11.7,orange,5.8 to 6.2
Wan-Bissaka,122,81.0,3.1,Man Utd,5.3,14.5,gold,5.3 to 5.7
Ward (CRY),126,60.9,3.2,Crystal Palace,4.3,1.1,green,4.3 to 4.7
Webster,493,60.45454545454545,1.1818181818181819,Brighton,4.4,0.6,green,4.3 to 4.7
Willems,498,71.36363636363636,3.1818181818181817,Newcastle,4.6,2.7,green,4.3 to 4.7
Zouma,459,72.3,2.2,Chelsea,4.7,2.0,green,4.3 to 4.7
van Aanholt,123,72.2,2.6,Crystal Palace,5.5,5.2,gold,5.3 to 5.7
van Dijk,183,90.0,5.090909090909091,Liverpool,6.4,40.0,darkorange,6.3 to 6.7
