web_name,id,avg_minutes,avg_points,team_name,cost,selected_by_percent,color,range
Groß,49,55.875,2.375,Brighton,6.4,0.6,lime,6.0 to 6.9
Guendouzi,21,78.75,2.5,Arsenal,4.5,8.0,darkgreen,Less than 5.0
Gündogan,222,52.875,1.75,Man City,5.2,1.3,green,5.0 to 5.9
Harry Wilson,505,48.0,2.0,Bournemouth,6.0,3.1,lime,6.0 to 6.9
Hayden,271,67.5,2.0,Newcastle,4.4,3.9,darkgreen,Less than 5.0
Henderson (LIV),198,56.25,2.875,Liverpool,5.4,1.0,green,5.0 to 5.9
Hendrick,100,66.625,2.875,Burnley,5.4,0.1,green,5.0 to 5.9
Hughes,370,49.25,1.75,Watford,5.4,0.4,green,5.0 to 5.9
Højbjerg,325,78.75,2.125,Southampton,4.8,0.4,darkgreen,Less than 5.0
Iwobi,17,59.5,2.5,Everton,5.6,1.2,green,5.0 to 5.9
James (MUN),243,80.75,3.5,Man Utd,6.1,10.6,lime,6.0 to 6.9
Jorginho,118,61.625,3.375,Chelsea,5.0,3.7,green,5.0 to 5.9
Kanté,119,48.375,2.0,Chelsea,5.0,4.7,green,5.0 to 5.9
Kouyaté,139,71.625,2.0,Crystal Palace,4.9,0.2,darkgreen,Less than 5.0
Kovacic,432,66.25,1.375,Chelsea,5.3,1.2,green,5.0 to 5.9
Lerma,82,63.5,1.25,Bournemouth,4.8,0.1,darkgreen,Less than 5.0
Maddison,171,75.875,4.75,Leicester,7.7,27.1,greenyellow,7.0 to 7.9
Mahrez,217,45.5,4.25,Man City,8.3,3.5,gold,8.0 to 8.9
Mané,192,79.0,7.5,Liverpool,12.3,42.7,red,12.0 and over
McArthur,138,85.875,3.125,Crystal Palace,5.2,0.7,green,5.0 to 5.9
McGinn,31,90.0,3.75,Aston Villa,5.8,9.1,green,5.0 to 5.9
McLean,286,68.625,2.375,Norwich,4.9,0.2,darkgreen,Less than 5.0
McNeil,97,85.625,3.875,Burnley,6.0,0.8,lime,6.0 to 6.9
McTominay,248,78.0,3.25,Man Utd,5.1,2.4,green,5.0 to 5.9
Milivojevic,134,88.125,2.875,Crystal Palace,6.7,2.5,lime,6.0 to 6.9
Mount,463,86.125,4.25,Chelsea,6.6,27.2,lime,6.0 to 6.9
Moutinho,415,86.0,3.75,Wolves,5.4,5.6,green,5.0 to 5.9
Nakamba,491,51.0,1.125,Aston Villa,4.4,1.1,darkgreen,Less than 5.0
Ndidi,176,90.0,3.0,Leicester,5.0,2.8,green,5.0 to 5.9
Neves,414,72.875,3.625,Wolves,5.3,5.3,green,5.0 to 5.9
Noble,396,70.75,2.5,West Ham,5.0,0.6,green,5.0 to 5.9
Norwood,302,85.125,2.375,Sheffield Utd,4.9,0.3,darkgreen,Less than 5.0
Oriol Romeu,328,66.375,1.375,Southampton,4.4,0.9,darkgreen,Less than 5.0
Pereira (MUN),246,61.875,2.875,Man Utd,5.0,0.5,green,5.0 to 5.9
Pereyra,369,52.25,2.125,Watford,5.6,0.7,green,5.0 to 5.9
Pröpper,54,78.75,2.375,Brighton,4.9,0.4,darkgreen,Less than 5.0
Pulisic,431,55.0,2.5,Chelsea,7.5,13.3,greenyellow,7.0 to 7.9
Pépé,488,58.375,2.875,Arsenal,9.1,2.3,orange,9.0 to 9.9
Pérez,265,56.875,2.125,Leicester,6.2,6.1,lime,6.0 to 6.9
Redmond,320,71.625,1.5,Southampton,6.2,0.6,lime,6.0 to 6.9
Rice,395,90.0,2.25,West Ham,4.7,1.4,darkgreen,Less than 5.0
Richarlison,150,84.0,4.75,Everton,7.8,7.0,greenyellow,7.0 to 7.9
Rodrigo,443,60.375,1.875,Man City,5.4,1.1,green,5.0 to 5.9
Saint-Maximin,500,58.625,2.0,Newcastle,5.4,0.5,green,5.0 to 5.9
Salah,191,74.75,7.0,Liverpool,12.2,21.5,red,12.0 and over
Schlupp,137,60.75,2.5,Crystal Palace,5.5,0.2,green,5.0 to 5.9
Shelvey,269,50.0,3.125,Newcastle,5.0,1.7,green,5.0 to 5.9
Sigurdsson,151,68.625,2.875,Everton,7.4,2.8,greenyellow,7.0 to 7.9
Sissoko,349,90.0,3.75,Spurs,4.9,2.0,darkgreen,Less than 5.0
Snodgrass,393,49.5,3.125,West Ham,5.2,0.3,green,5.0 to 5.9
Son,342,69.375,6.75,Spurs,10.0,19.5,darkorange,10.0 to 10.9
Stephens (BHA),57,86.5,2.25,Brighton,4.4,2.3,darkgreen,Less than 5.0
Sterling,214,76.875,3.375,Man City,11.8,25.2,orangered,11.0 to 11.9
Stiepermann,285,54.0,1.375,Norwich,5.2,0.1,green,5.0 to 5.9
Tettey,289,45.375,2.0,Norwich,4.5,0.2,darkgreen,Less than 5.0
Tielemans,448,86.375,5.0,Leicester,6.6,8.9,lime,6.0 to 6.9
Traoré,417,69.75,2.25,Wolves,5.2,4.6,green,5.0 to 5.9
Trossard,421,48.375,3.875,Brighton,5.8,0.3,green,5.0 to 5.9
Ward-Prowse,321,90.0,4.125,Southampton,5.9,2.1,green,5.0 to 5.9
Westwood,101,67.5,3.125,Burnley,5.4,0.3,green,5.0 to 5.9
Wijnaldum,199,83.0,3.0,Liverpool,5.4,2.8,green,5.0 to 5.9
Willian,113,65.75,3.375,Chelsea,7.0,2.1,greenyellow,7.0 to 7.9
Winks,347,53.125,1.375,Spurs,5.3,0.3,green,5.0 to 5.9
Xhaka,18,50.125,1.5,Arsenal,5.1,0.6,green,5.0 to 5.9
Yarmolenko,392,53.125,3.75,West Ham,5.6,1.9,green,5.0 to 5.9
Zaha,133,81.875,3.25,Crystal Palace,6.8,11.9,lime,6.0 to 6.9
